text,sentiment,original_text,processed_text
"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",neutral,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",nokia continue invest future development qt digia responsible commercial licensing service business
"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .",neutral,"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .",nonwovens specialty paper made ahlstrom used large variety everyday product eg filter wipe flooring label tape
"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .",neutral,"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .",nokia announced launch bicycle charger kit compatible nokia phone mm charging interface
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",basis competitive bidding ooo kitai stroi russian subsidiary china state construction engineering corporation construction company owned china state selected main constructor
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",neutral,"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",time nokia india largest mnc sought topic could spark million approach creativity emerging market
Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,positive,Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,carrier handset maker spin positive event raise interest higher end phone pricier data plan
Other potential clients include public administration organizations investing in utility networks and services .,neutral,Other potential clients include public administration organizations investing in utility networks and services .,potential client include public administration organization investing utility network service
"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",neutral,"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",solution fully arabized message want become partner choice business near east region
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",positive,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",pearl plaza llc joint venture srv shanghai industrial investment holding co ltd concluded investment decision construction first phase shopping center saint petersburg russia
"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",neutral,"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",poyry plc additional information martin kuzaj president industry business group finland tel sanna paivaniemi director investor relation poyry plc finland tel poyry global consulting engineering company dedicated balanced sustainability
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral,"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",professional consumer application include personal navigation personal safety field workflow management asset tracking
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral,Satama and Trainers ' House will remain as names and independent brands of the business areas .,satama trainer house remain name independent brand business area
"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",talvik say relocation application program server continue hp server approved hp supplying tailor made solution elisa
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive,"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",technopolis st petersburg government signed cooperation memorandum october set techno park neudorf production zone village strelny st petersburg suburb
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,tekla structure team compatible window operating system
"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .",positive,"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .",tekla structure bim building information modeling software developed according long term plan improved user experience process functionality
TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,positive,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,teliasonera leading telecommunication company nordic baltic region
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",neutral,"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",mentioned shareholder suggest monthly salary eur would paid board member outside company
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",address location provided local controller preferably wireless transmission us address location access appliance control module
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,neutral,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,aim bridge solution chosen minimize construction time ensuring traffic beneath bridge saimaa canal continues undisturbed
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,bank also examining benefit transferring swedish business operate branch office operation would governed finland law
The company admits that 36 months is a relatively short time when operating in Russia .,neutral,The company admits that 36 months is a relatively short time when operating in Russia .,company admits month relatively short time operating russia
The company has a wide selection of metal products and services .,neutral,The company has a wide selection of metal products and services .,company wide selection metal product service
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",company charge natural gas storage activity france great britain germany
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,cooperation airbaltic expected lead transfer finncomm ownership airbaltic time
The Court 's decision will also promote genuine competition in services,neutral,The Court 's decision will also promote genuine competition in services,court decision also promote genuine competition service
"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",daily graphic newspaper october reported initiative embarked upon fidelity bank partner ghana post office across country offer financial service unbanked banked country
"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral,"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",device also used theft protection positioning vehicle boat asset
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",donation granted aalto university university helsinki tampere turku eastern finland jyv nskyl n oulu vaasa polytechnic announced later
"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .",neutral,"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .",estonian beverage maker le coq today brought market new premium class beer le coq special investing million kroon eur development planning sell three million liter beer next year
The first phase will be completed by the end of 2012 .,neutral,The first phase will be completed by the end of 2012 .,first phase completed end
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,"The guidance has been set at 90 basis points over mid-swaps , the report said .",guidance set basis point mid swap report said
The invention carries International Patent Publication No. .,neutral,The invention carries International Patent Publication No. .,invention carry international patent publication
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",inventor bylander johan ponten fredrik lundberg jorgen
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",inventor mukkavilli krishna kiran sabharwal ashutosh aazhang behnaam
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",inventor ridge justin bao yiliang karczewicz marta
The issuer is solely responsible for the content of this announcement .,neutral,The issuer is solely responsible for the content of this announcement .,issuer solely responsible content announcement
The issuer is solely responsible for the content of this announcement .,neutral,The issuer is solely responsible for the content of this announcement .,issuer solely responsible content announcement
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,"The market making in accordance with the agreement will begin on September 24 , 2009 .",market making accordance agreement begin september
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",neutral,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",offer price million including cash million net debt assumption face million worth cencorp share issued savcor
The ore body is sufficient to support anticipated production for at least 46 years .,neutral,The ore body is sufficient to support anticipated production for at least 46 years .,ore body sufficient support anticipated production least year
The original patent was filed in Finland under application No. .,neutral,The original patent was filed in Finland under application No. .,original patent filed finland application
"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",neutral,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",relocation ragot already started completed next week waterqueen tortue move planned mid vmc europe third quarter
"The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .",positive,"The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .",report provides comprehensive insight company including business structure operation executive biography key competitor
"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",neutral,"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",reward paid basis earning period correspond value maximum total componenta corporation share including also proportion paid cash
The right margin will be viewed separately in detail with every customer .,neutral,The right margin will be viewed separately in detail with every customer .,right margin viewed separately detail every customer
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral,The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,service also enables user watch e mail html format en enhanced addition language choose
"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .",positive,"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .",service also give supplier opportunity key invoice receive order electronically send order confirmation upload create electronic catalogue
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,neutral,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,swedish subsidiary hold net smelter return nsr royalty two advanced copper project northern sweden viscaria adak project developed avalon mineral ltd asx avi
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral,"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",total investment vantaa plant extension amount around million euro okmetic share investment worth around million
"The value of the deal exceeds EUR500 ,000 , the company said .",neutral,"The value of the deal exceeds EUR500 ,000 , the company said .",value deal exceeds eur company said
"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .",neutral,"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .",implementation upgrade existing system enabling voicemail video mail housed platform
This is the second successful effort for the financial investor this year .,positive,This is the second successful effort for the financial investor this year .,second successful effort financial investor year
Travel expenses would be reimbursed in accordance with the travel policy of the company .,neutral,Travel expenses would be reimbursed in accordance with the travel policy of the company .,travel expense would reimbursed accordance travel policy company
Welcome !,neutral,Welcome !,welcome
Wellness services will be important in the future .,neutral,Wellness services will be important in the future .,wellness service important future
"You need to be ready when the window opens up , Rosberg said .",neutral,"You need to be ready when the window opens up , Rosberg said .",need ready window open rosberg said
- Tikkurila inspires you to color your life .,neutral,- Tikkurila inspires you to color your life .,tikkurila inspires color life
: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,positive,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,lietuvos respublikos sveikatos apsaugos ministerija awarded contract uab affecto lietuva financial system software package
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,neutral,CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,cf pty ltd became substantial holder renison consolidated mine nl january million share pc
Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,raffle equity ltd became substantial holder archer exploration ltd january million share pc
"` For Nordea , moving into the new headquarters signifies the beginning of a new era .",positive,"` For Nordea , moving into the new headquarters signifies the beginning of a new era .",nordea moving new headquarters signifies beginning new era
"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .",neutral,"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .",respect decision discussion closed said kai telanne alma medium ceo
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',director shareholder alike ask practice allowed continue
"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",neutral,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",every partner allowed buy quantity electricity corresponding share consortium production cost letter intent said
"`` I 'm happy with the outcome , '' Sneed said after the hearing .",positive,"`` I 'm happy with the outcome , '' Sneed said after the hearing .",happy outcome sneed said hearing
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",positive,"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",installation automatic varnishing line important part company strategy region central eastern europe said jozef misurec director ruukki slovakia
`` It allows the young child to move forward with his life . '',positive,`` It allows the young child to move forward with his life . '',allows young child move forward life
"`` Our decision and resolve on MeeGo is only stronger , '' she continued .",positive,"`` Our decision and resolve on MeeGo is only stronger , '' she continued .",decision resolve meego stronger continued
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral,`` The issues identified by Stonesoft affect a range of content inspection technology .,issue identified stonesoft affect range content inspection technology
`` They want my credit card info and my personal details .,neutral,`` They want my credit card info and my personal details .,want credit card info personal detail
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",neutral,"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",hope clarify policy finnish business gray area motlanthe said
"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .",neutral,"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .",relevant authority approval make mandatory bid required finnish security market act
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,november finnish textile clothing company marimekko oyj hel mmo v announced friday opening first concept store seoul cooperation japanese sector player look inc tyo
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,neutral,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,broad range connectivity option including g hspa wi fi give consumer high speed access internet
A new production line is being completed for the contract production of hormone treatments .,positive,A new production line is being completed for the contract production of hormone treatments .,new production line completed contract production hormone treatment
A quick `` one-stop-shop '' to understand the company .,neutral,A quick `` one-stop-shop '' to understand the company .,quick one stop shop understand company
About Dopplr Dopplr is a service for smart travellers .,neutral,About Dopplr Dopplr is a service for smart travellers .,dopplr dopplr service smart traveller
About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,positive,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,elcoteq elcoteq se leading electronics manufacturing service em company communication technology field
About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,positive,About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,nokia nokia pioneer mobile telecommunication world leading maker mobile device
About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,neutral,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,stonesoft corporation stonesoft corporation omx sft v innovative provider integrated network security solution secure information flow distributed organization
"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",neutral,"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",according sweden minister local government financial market mat odell decision sell state share telecom group teliasonera carried cooperation state finland
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,neutral,Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,finnish beverage company olvi introducing new long drink olvi kultalonkero golden long drink market finland spring
"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .",positive,"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .",finnish geosentric developer provider solution product technology location based service preliminary agreed eur mn short term funding leading investor
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,finnish raisio diagnostics launching new dna based quick test ensure safety food
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,finnish rautaruukki selling precision tube automotive component processing unit carl froh germany german arques industry
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",negative,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",finnish suominen corporation make wet wipe nonwovens flexible packaging starting employer employee negotiation tampere plant finland lay employee
Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,neutral,Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,swedish wallenberg family controlled investor bought large stake c share swedish retail bank seb
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",negative,"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",according arokarhu purchase scanned cash register computer disappeared total sum key pressed
"According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .",neutral,"According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .",according barclays f secure software protect user hacker virus spyware digital attack
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",according capman plc corporate governance majority committee member shall independent company
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,"According to Finnair Technical Services , the measure is above all due to the employment situation .",according finnair technical service measure due employment situation
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",according honka japan managing director marko saarelainen honkarakenne export ready made log house japan year
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",according preliminary data slovakia statistic office good worth e million imported finland january october making percent slovakia total import
"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",neutral,"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",according seikku retail sector finland controlled large actor food manufacturer still relatively small
"According to the company , staff will be laid off temporarily when necessary .",negative,"According to the company , staff will be laid off temporarily when necessary .",according company staff laid temporarily necessary
"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",neutral,"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",according tyrv ninen estimation japan essential location term finnair asian strategy
"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",neutral,"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",according vauramo plant lifting equipment suitable asian chinese truck
"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .",neutral,"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .",signing total amount aspo revolving credit facility agreement eur million replaces formerly valid agreement eur million
"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",neutral,"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",ahlstrom corporation stock exchange release ahlstrom global leader high performance fiber based material today announced completion acquisition friend group inc consists west carrollton parchment company west carrollton converting company
"Aho is proud of the company 's new product , Lordi-Cola .",neutral,"Aho is proud of the company 's new product , Lordi-Cola .",aho proud company new product lordi cola
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,neutral,Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,aldata share space optimization vision apollo user group category management association conference company unveil new solution combine business intelligence space planning data conference
"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral,"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",alexandria va august timo vataja tampere finland virve inget oulu finland developed computer program product activating right use
"Also , a seven-year historic analysis is provided for these markets .",neutral,"Also , a seven-year historic analysis is provided for these markets .",also seven year historic analysis provided market
"Also , a six-year historic analysis is provided for these markets .",neutral,"Also , a six-year historic analysis is provided for these markets .",also six year historic analysis provided market
"Also , a six-year historic analysis is provided for this market .",neutral,"Also , a six-year historic analysis is provided for this market .",also six year historic analysis provided market
"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",neutral,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",also technopolis plan build million euro technology park special economic zone neudorf st petersburg st petersburg government said february
Also Chile is an important market area for forest machine companies .,neutral,Also Chile is an important market area for forest machine companies .,also chile important market area forest machine company
Also the traditional grapevine carries a lot of weight .,neutral,Also the traditional grapevine carries a lot of weight .,also traditional grapevine carry lot weight
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,altia operating profit jumped eur million eur million
Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,positive,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,altimo teliasonera said yesterday usmanov would welcome join new company
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,amanda said already made usd investment commitment russia partner ii fund july
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",invention released patent office said chamber pressurized
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,audio webcast available live archived cerner web site wwwcernercom
"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",anttila online department store netanttila established position best known visited shopped online store finland
"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",apart nordea also ergo competing position among top three pension fund provider estonia
"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",neutral,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",result merger largest professional electronics telecommunication technology contract manufacturing center finland formed sievi
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,negative,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,result negotiation employment blue white collar employee oulu plant would terminated
"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",neutral,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",august glaston north asian sale service region upgraded new market area north asia
